rank,id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids
59,315249555955,429374739,kisaragikisara,キサラギキサラ,460833,Major Dream: Major Wii: Perfect Closer,live,【様子のおかしいゲーム】MAJORパーフェクトクローザーRTA,69,2025-12-10T16:59:20Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_kisaragikisara-{width}x{height}.jpg,
60,315194372977,720528031,omiki_syake,御酒しゃけ,491931,Escape from Tarkov,live,【Drop✅】PVP/Lv28🔰れでぃご @omiki_syake,68,2025-12-10T18:07:10Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_omiki_syake-{width}x{height}.jpg,
61,315192838769,645418207,siosio_osio,お塩だよ,515025,Overwatch 2,live,【初見さん歓迎】新シーズンもランク頑張るぞ！,68,2025-12-10T11:35:22Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_siosio_osio-{width}x{height}.jpg,
62,315203650034,890341349,46anpan,白あんぱん,24241,FINAL FANTASY XIV ONLINE,live,もくもく木曜日,65,2025-12-10T20:46:50Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_46anpan-{width}x{height}.jpg,
63,315203598834,880063461,1qamnbzv,借入くん,516575,VALORANT,live,【借金316万】明日面接があります,65,2025-12-10T20:17:57Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_1qamnbzv-{width}x{height}.jpg,
64,315193590641,798641623,kira030500,きらぼしきら綺羅星きら,509659,ASMR,live,ASMR,63,2025-12-10T13:51:03Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_kira030500-{width}x{height}.jpg,
65,315201489394,898839141,watame_inu,綿飴ゐぬ,21779,League of Legends,live,#10【MID/SUP】S4～みんなで来年の抱負とか決めとく？,62,2025-12-10T10:30:20Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_watame_inu-{width}x{height}.jpg,
66,315249309555,1051329851,roiro_yamiyori,闇依ろいろ,735904419,ARK: Survival Ascended,live,🔰 #21 ┊【ミドルアイランド】モサとクマとガチャと,61,2025-12-10T15:20:34Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_roiro_yamiyori-{width}x{height}.jpg,
67,315194538609,1013933065,erunsp,藤色えるん,491931,Escape from Tarkov,live,🔰PvPLv23~生存確認,60,2025-12-10T19:30:59Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_erunsp-{width}x{height}.jpg,
68,315250021747,187147795,tokimekii,ときめきちゃん,509658,Just Chatting,live,35mm/f1.4G,59,2025-12-10T20:56:49Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_tokimekii-{width}x{height}.jpg,
69,315249679603,272580931,sutemou,sutemou,653624336,Lies of P,live,初見プレイ,58,2025-12-10T17:54:10Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_sutemou-{width}x{height}.jpg,
70,315202851442,1291804517,yora_yaya,夜来やや,271304,7 Days to Die,live,ぼっちでのんびりゾンビ生活 にっ！【7 Days to Die】,58,2025-12-10T15:00:23Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_yora_yaya-{width}x{height}.jpg,
71,315250084339,1212608680,towa_nemuru,永遠ねむる,516575,VALORANT,live,おはよう×筋トレ×関西弁 🌸 １周年後夜祭！,58,2025-12-10T21:30:12Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_towa_nemuru-{width}x{height}.jpg,
72,315193788273,921502455,yukino0v0lily,雪乃りりー,24241,FINAL FANTASY XIV ONLINE,live,[ FF14 / MANA ] 元気だした！！ありがとう！✨キーマウ練習withメイン❄️ @yukino0v0lily,57,2025-12-10T14:34:48Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_yukino0v0lily-{width}x{height}.jpg,
73,315249400307,1208407812,knobaraa,釘崎くぎみん,491487,Dead by Daylight,live,おばあちゃん生存確認,57,2025-12-10T15:52:36Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_knobaraa-{width}x{height}.jpg,
74,315249724147,719818838,miyu3_o,みゆさま,511224,Apex Legends,live,【顔出し】今日も今日とてソロランクでございます,54,2025-12-10T18:13:45Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_miyu3_o-{width}x{height}.jpg,
75,315194078065,728481063,muten_q,メュテン,509660,Art,live,ZZZ｜コマンド盤岳トレモ道場DAY3➽ガチャリリース順に全キャラ描くver.1.3 ライト,53,2025-12-10T16:01:47Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_muten_q-{width}x{height}.jpg,
76,315193546097,862416177,janm_co,じゃむこ,516575,VALORANT,live,《実写》アセ３耐久！？,53,2025-12-10T13:41:31Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_janm_co-{width}x{height}.jpg,
77,315202502642,655833594,miruaamaochi,天堕みるあ,491931,Escape from Tarkov,live,【Drops🎁】初めてのタスクいっぱい挑戦するよ！！,52,2025-12-10T13:35:45Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_miruaamaochi-{width}x{height}.jpg,
78,315203565682,1100672037,inuganeru,おはにゃすたろう,516575,VALORANT,live,solo,52,2025-12-10T20:01:28Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_inuganeru-{width}x{height}.jpg,
79,315203738738,180406537,nnntarpe,たろぺ,506415, SEKIRO: SHADOWS DIE TWICE,live,ビッツ禁止！ ６年積んだ。もう十分だ,51,2025-12-10T21:36:43Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_nnntarpe-{width}x{height}.jpg,
